Degree,Estimated Price,Std. Deviation,CI Lower Bound,CI Upper Bound
2,7.079714865818268,0.08239405725681728,7.0779,7.0816
3,7.089345864097956,0.08905912897207971,7.0873,7.0913
4,7.091889333179516,0.07149215883288267,7.0903,7.0935
