Degree,Estimated Price,Std. Deviation,CI Lower Bound,CI Upper Bound
20,67.97536488785913,1.1088743018600191,67.9675,67.9832
21,63.90409239842343,1.233903396100024,63.8953,63.9128
22,60.834418030226935,1.3747979973282767,60.8247,60.8442
23,57.99415410821247,0.9848854125373352,57.9872,58.0011
24,55.510098877108724,1.7243640948891727,55.4979,55.5223
25,52.664902173328414,1.0540703541303842,52.6574,52.6724
26,50.82657636712057,1.3443616639402696,50.817,50.8361
27,48.94878661996127,1.0936842263594495,48.941,48.9565
28,47.18704310559218,1.4813791686813773,47.1765,47.1975
29,46.00505033684123,0.9736424510215458,45.9981,46.012
30,43.396961614362255,0.9875903675964265,43.39,43.404
