Degree,Estimated Price,Std. Deviation,CI Lower Bound,CI Upper Bound
2,8.171041839309876,2.2849833920452025,6.5515,9.7906
3,6.37268405987714,1.934196649523478,5.0017,7.7436
4,7.801404121847137,3.419439008179278,5.3777,10.2251
5,8.07501228044519,3.5701330997118905,5.5445,10.6055
6,7.373753549333047,2.3060615885726055,5.7392,9.0083
7,6.493815586556124,3.300318301017232,4.1546,8.8331
8,7.04725187015292,2.771435021913279,5.0829,9.0116
9,7.0578126854352785,3.1488547676546736,4.8259,9.2897
10,7.112794242492403,2.3905571415511613,5.4184,8.8072
