Degree,Estimated Price,Std. Deviation,CI Lower Bound,CI Upper Bound
2,7.078283172579529,0.06575815064990961,7.0768,7.0798
3,7.078157658250002,0.07328719363337244,7.0765,7.0798
4,7.083105732727606,0.08142033568860398,7.0813,7.0849
5,7.060527780862866,0.07461137185872808,7.0589,7.0622
6,7.087660835547125,0.08578439680752806,7.0857,7.0896
7,7.083304414004637,0.07144048862679733,7.0817,7.0849
8,7.054651653200004,0.08631109958767318,7.0527,7.0566
9,7.0614022181762115,0.08122389853863546,7.0596,7.0632
10,7.057836262047282,0.06992446808114115,7.0563,7.0594
