Degree,Estimated Price,Std. Deviation,CI Lower Bound,CI Upper Bound
2,4.7551561495662655,0.04273395900557477,4.7542,4.7561
3,4.714475650895171,0.06630675368526388,4.713,4.716
4,4.748113885295999,0.06711318910176377,4.7466,4.7496
5,4.764697411114375,0.05629054708388951,4.7634,4.766
6,4.75913023358739,0.06344228516984468,4.7577,4.7606
7,4.730831052093934,0.06483198981568446,4.7294,4.7323
