Degree,Estimated Price,Std. Deviation,CI Lower Bound,CI Upper Bound
2,2.4992430429899652,0.09645675273123565,2.4971,2.5014
3,2.403674411442912,0.058105075466023844,2.4024,2.405
4,2.372151368648298,0.06412394704955526,2.3707,2.3736
